City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Mataura,NZ,2022-10-03 05:38:56,-46.1927,168.8643,47.48,55,85,7.02
59,Kavaratti,IN,2022-10-03 05:38:57,10.5669,72.642,81.45,76,100,15.35
60,Mahebourg,MU,2022-10-03 05:38:57,-20.4081,57.7,76.24,60,40,11.5
61,Puerto Ayora,EC,2022-10-03 05:38:58,-0.7393,-90.3518,63.55,99,90,6.71
62,Busselton,AU,2022-10-03 05:38:59,-33.65,115.3333,64.67,40,42,7.09
63,Punta Gorda,US,2022-10-03 05:38:59,26.9298,-82.0454,71.98,75,0,5.01
64,Ilulissat,GL,2022-10-03 05:39:00,69.2167,-51.1,32.02,86,40,2.3
65,Broken Hill,AU,2022-10-03 05:39:00,-31.95,141.4333,76.44,22,92,8.55
66,Hithadhoo,MV,2022-10-03 05:39:01,-0.6,73.0833,81.86,67,96,14.05
67,Nanortalik,GL,2022-10-03 05:39:02,60.1432,-45.2371,36.0,76,52,8.5
68,Nome,US,2022-10-03 05:39:02,64.5011,-165.4064,37.47,71,75,6.91
69,Bluff,NZ,2022-10-03 05:39:03,-46.6,168.3333,47.8,53,83,17.2
70,Butaritari,KI,2022-10-03 05:39:04,3.0707,172.7902,82.51,69,71,18.37
71,Mar Del Plata,AR,2022-10-03 05:37:26,-38.0023,-57.5575,51.1,80,75,9.22
72,Katiola,CI,2022-10-03 05:39:05,8.1333,-5.1,72.23,99,93,2.62
73,Borogontsy,RU,2022-10-03 05:39:06,62.6683,131.1683,30.58,58,100,8.05
74,Ostrovnoy,RU,2022-10-03 05:39:07,68.0531,39.5131,38.98,84,70,14.63
75,Carnarvon,AU,2022-10-03 05:39:08,-24.8667,113.6333,75.49,44,0,16.96
76,Williams Lake,CA,2022-10-03 05:39:09,52.1415,-122.1445,60.37,80,0,4.61
77,San Francisco,US,2022-10-03 05:36:43,37.7749,-122.4194,63.39,84,0,10.36
78,Cherskiy,RU,2022-10-03 05:39:10,68.75,161.3,27.05,89,100,11.07
79,Qaanaaq,GL,2022-10-03 05:39:10,77.484,-69.3632,5.85,70,55,7.99
80,Seka,TH,2022-10-03 05:39:11,17.9285,103.9552,87.19,64,61,5.12
81,Avarua,CK,2022-10-03 05:34:46,-21.2078,-159.775,73.45,68,20,16.11
82,Upernavik,GL,2022-10-03 05:39:12,72.7868,-56.1549,18.23,85,30,7.67
83,Pachino,IT,2022-10-03 05:39:12,36.7186,15.0907,70.23,61,1,1.72
84,Abu Samrah,SY,2022-10-03 05:39:13,35.3029,37.1841,78.71,43,2,7.92
85,Valleyview,CA,2022-10-03 05:39:14,55.0667,-117.2859,49.21,52,17,5.03
86,Chokurdakh,RU,2022-10-03 05:39:16,70.6333,147.9167,24.33,64,74,7.87
87,Comodoro Rivadavia,AR,2022-10-03 05:39:17,-45.8667,-67.5,48.06,76,0,12.66
88,Luwuk,ID,2022-10-03 05:39:19,-0.9516,122.7875,87.17,63,93,2.8
89,Hobart,AU,2022-10-03 05:39:20,-42.8794,147.3294,57.22,73,75,17.27
90,Atar,MR,2022-10-03 05:40:21,20.5169,-13.0499,86.07,36,6,7.16
91,Pisco,PE,2022-10-03 05:40:21,-13.7,-76.2167,60.85,82,100,5.75
92,Coihaique,CL,2022-10-03 05:40:22,-45.5752,-72.0662,48.81,71,0,3.44
93,Cidreira,BR,2022-10-03 05:40:22,-30.1811,-50.2056,58.77,88,2,2.3
94,Beringovskiy,RU,2022-10-03 05:40:23,63.05,179.3167,39.61,80,99,11.41
95,Kaitangata,NZ,2022-10-03 05:40:24,-46.2817,169.8464,47.82,58,70,10.96
96,Punta Arenas,CL,2022-10-03 05:39:25,-53.15,-70.9167,42.91,65,100,9.22
97,Cassilandia,BR,2022-10-03 05:40:26,-19.1133,-51.7342,73.11,69,73,3.47
98,Albany,US,2022-10-03 05:35:30,42.6001,-73.9662,45.68,69,100,3.71
99,Pevek,RU,2022-10-03 05:40:27,69.7008,170.3133,29.68,85,100,11.16
100,Henties Bay,NA,2022-10-03 05:40:27,-22.116,14.2845,56.71,88,2,6.44
101,Faanui,PF,2022-10-03 05:40:28,-16.4833,-151.75,79.03,73,2,15.9
102,Maputo,MZ,2022-10-03 05:40:29,-25.9653,32.5892,71.28,83,0,6.91
103,Port-Gentil,GA,2022-10-03 05:40:29,-0.7193,8.7815,76.96,94,75,8.05
104,Saskylakh,RU,2022-10-03 05:40:30,71.9167,114.0833,24.91,94,94,9.28
105,Townsville,AU,2022-10-03 05:39:56,-19.25,146.8,83.28,58,68,17.27
106,Leningradskiy,RU,2022-10-03 05:40:31,69.3833,178.4167,30.45,91,100,4.81
107,Kodiak,US,2022-10-03 05:40:31,57.79,-152.4072,49.51,71,75,10.36
108,Chapais,CA,2022-10-03 05:40:32,49.7834,-74.8492,29.98,75,42,4.9
109,Bahjoi,IN,2022-10-03 05:40:32,28.4,78.6167,88.02,48,0,7.34
110,Moose Factory,CA,2022-10-03 05:40:33,51.2585,-80.6094,46.4,66,75,11.5
111,Los Llanos De Aridane,ES,2022-10-03 05:40:33,28.6585,-17.9182,68.13,61,100,8.05
112,Xining,CN,2022-10-03 05:40:34,36.6167,101.7667,41.94,80,100,3.56
113,Coquimbo,CL,2022-10-03 05:40:35,-29.9533,-71.3436,53.33,100,100,3.44
114,Bredasdorp,ZA,2022-10-03 05:40:35,-34.5322,20.0403,60.06,71,100,10.09
115,Cabo San Lucas,MX,2022-10-03 05:36:19,22.8909,-109.9124,83.52,57,27,1.99
116,Chifeng,CN,2022-10-03 05:40:36,42.2683,118.9636,41.27,56,100,18.77
117,Mkuranga,TZ,2022-10-03 05:40:37,-7.118,39.2078,72.59,49,26,6.91
118,Pacific Grove,US,2022-10-03 05:36:00,36.6177,-121.9166,61.25,86,0,3.44
119,Padang,ID,2022-10-03 05:37:20,-0.9492,100.3543,86.05,73,93,5.86
120,Chernyshevskiy,RU,2022-10-03 05:40:38,63.0128,112.4714,32.0,64,100,6.8
121,Geraldton,AU,2022-10-03 05:40:39,-28.7667,114.6,73.81,38,0,13.8
122,San Quintin,MX,2022-10-03 05:40:39,30.4833,-115.95,67.55,83,25,11.83
123,Oktyabrskiy,RU,2022-10-03 05:40:40,54.4815,53.471,56.21,39,98,17.54
124,Pangai,TO,2022-10-03 05:40:41,-19.8,-174.35,78.91,69,20,13.8
125,Lebu,CL,2022-10-03 05:40:42,-37.6167,-73.65,49.91,82,100,2.75
126,Tiksi,RU,2022-10-03 05:40:42,71.6872,128.8694,27.16,90,100,6.62
127,Ponta Do Sol,PT,2022-10-03 05:40:43,32.6667,-17.1,68.72,76,2,1.72
128,Talara,PE,2022-10-03 05:40:43,-4.5772,-81.2719,65.5,81,31,14.52
129,Sacramento,US,2022-10-03 05:36:47,38.4666,-121.3177,68.38,71,0,6.91
