,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
570,Tautira,PF,76.1,broken clouds,-17.7333,-149.15,Pension Oaoa
582,Rehti,IN,75.83,overcast clouds,22.7333,77.4333,Hotel Dhakad
585,Biltine,TD,83.28,few clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
588,Narasannapeta,IN,80.69,overcast clouds,18.4167,84.05,AVK events and catering
599,Maryborough,AU,75.11,overcast clouds,-25.5333,152.7,Blue Shades Motel
601,Borba,BR,77.11,broken clouds,-4.3878,-59.5939,Hotel da Amazônia
603,Diu,IN,77.34,clear sky,20.7141,70.9822,Hotel Relax Inn
605,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
607,Cockburn Town,TC,82.69,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
608,Chapada Dos Guimaraes,BR,78.46,scattered clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
609,Maimbung,PH,85.78,overcast clouds,5.9272,121.0294,Bualo Resort
614,Hirara,JP,86.27,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
617,Midland,US,77.05,clear sky,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
618,Manicore,BR,76.95,clear sky,-5.8092,-61.3003,Hotel Durval
620,Muscat,OM,82.58,clear sky,23.6139,58.5922,Mutrah Hotel
621,San-Pedro,CI,75.36,overcast clouds,4.7485,-6.6363,Hotel Maria
622,Manggar,ID,85.14,overcast clouds,-2.8833,108.2667,Guest Hotel
623,Alyangula,AU,85.71,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
626,Arlit,NE,88.27,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
629,Basco,PH,83.14,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
631,Madang,PG,84.16,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
633,Bowen,AU,76.8,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
639,Kanniyakumari,IN,80.74,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
641,Bombay,IN,84.09,mist,19.0144,72.8479,Hotel Avon Ruby-Dadar Hotels
642,Portobelo,PA,80.04,overcast clouds,9.55,-79.65,Scuba Portobelo
643,Port Keats,AU,89.56,clear sky,-14.25,129.55,Kardu Durrikardu Numida Hostel
646,Katol,IN,77.65,broken clouds,21.2667,78.5833,Rocks Celibration lawn
648,Det Udom,TH,84.02,broken clouds,14.906,105.0784,Chatsuda Resort
650,Nha Trang,VN,86.0,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
651,Charters Towers,AU,84.31,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
653,Buchanan,LR,75.65,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
656,Fare,PF,78.1,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
666,Bairiki,KI,87.8,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
672,Jizan,SA,85.14,scattered clouds,17.3333,42.6667,شهدان. ابوالحجر
673,Tabas,IR,77.99,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
685,Cayenne,GF,77.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
698,Safaga,EG,81.14,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
700,Pitogo,PH,87.39,light rain,13.7847,122.0881,Ricronald
701,Quelimane,MZ,75.15,few clouds,-17.8786,36.8883,Hotel Flamingo
702,Damaturu,NG,75.65,overcast clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
706,Carlsbad,US,75.9,clear sky,33.1581,-117.3506,Carlsbad Inn Beach Resort
714,Dullewala,PK,87.8,clear sky,31.8359,71.4362,Sajid fruit shop
716,Fatehpur,IN,75.83,overcast clouds,25.9333,80.8,Hotel Bombay Lodge
718,Iquitos,PE,75.24,clear sky,-3.7481,-73.2472,Cortez Malaga Techy Caroly
