City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Mataura,NZ,-46.1927,168.8643,53.87,65,98,10.98,overcast clouds
81,Kenai,US,60.5544,-151.2583,55.02,86,100,9.22,light rain
82,Fortuna,US,40.5982,-124.1573,59.94,79,3,5.59,clear sky
83,Lavrentiya,RU,65.5833,-171.0,39.85,68,15,2.01,few clouds
84,Husavik,IS,66.0449,-17.3389,42.78,90,100,8.41,overcast clouds
85,Praia Da Vitoria,PT,38.7333,-27.0667,67.75,100,0,6.6,clear sky
86,Luderitz,NA,-26.6481,15.1594,57.09,80,0,18.68,clear sky
87,Manono,CD,-7.3,27.4167,71.24,76,10,1.28,clear sky
88,Pisco,PE,-13.7,-76.2167,59.05,88,0,16.11,clear sky
89,Benghazi,LY,32.1167,20.0667,75.67,65,99,11.1,overcast clouds
90,Sitka,US,57.0531,-135.33,55.29,71,0,4.61,clear sky
91,Lakatoro,VU,-16.0999,167.4164,80.83,76,37,6.96,scattered clouds
92,Tautira,PF,-17.7333,-149.15,76.64,80,26,21.41,light rain
93,Provideniya,RU,64.3833,-173.3,44.71,76,0,7.0,clear sky
94,Bambous Virieux,MU,-20.3428,57.7575,70.21,78,20,6.91,few clouds
95,Khasan,RU,42.4308,130.6434,48.47,46,85,20.65,overcast clouds
96,Aanekoski,FI,62.6946,25.818,40.68,100,100,8.79,overcast clouds
97,Malakal,SS,9.5334,31.6605,70.12,93,100,2.17,overcast clouds
98,Bafia,CM,4.75,11.2333,67.78,98,100,1.25,overcast clouds
99,Zhucheng,CN,35.9947,119.3975,54.12,65,54,22.53,broken clouds
100,Abu Dhabi,AE,24.4667,54.3667,84.31,62,0,6.91,clear sky
101,Abatskoye,RU,56.2875,70.4555,36.41,57,74,11.07,broken clouds
102,Kiama,AU,-34.6833,150.8667,71.26,64,88,1.01,light rain
103,Hay River,CA,60.8156,-115.7999,48.18,66,75,2.3,smoke
104,Georgetown,MY,5.4112,100.3354,82.33,83,20,4.61,few clouds
105,Inhambane,MZ,-23.865,35.3833,71.37,89,1,9.35,clear sky
106,Inuvik,CA,68.3499,-133.7218,29.26,80,100,6.91,overcast clouds
107,Dikson,RU,73.5069,80.5464,31.39,99,100,3.85,light snow
108,Butaritari,KI,3.0707,172.7902,81.77,74,97,10.96,overcast clouds
